기관코드,전체기관명,최하위기관명,차수,서열,소속기관차수,차상위기관코드,최상위기관코드,대표기관코드,유형분류_대,유형분류_중,유형분류_소,우편번호,행정동코드,소재지코드,나머지주소,지번,전화번호,팩스번호,생성일자,폐지일자,변경일자,존폐여부,이전기관코드
1490000,노동부,노동부,1.0,28.0,0.0,0,1490000,1490000,1.0,1.0,01,, ,4129010700, ,000010000,503-7171,503-9771,19810408,20100705.0,20100727.0,1,"1490026,1490924"
1490001,노동부 장관,장관,2.0,1.0,0.0,1490000,1490000,1490000,1.0,2.0,,,,4129010700,,000010000,503-9700,504-6708,20000101,20100705.0,20100727.0,1,
1490002,노동부 차관,차관,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,01,,,4129010700,,000010000,503-9702,503-9793,20000101,20100705.0,20100727.0,1,
1490003,노동부 총무과,총무과,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9723,503-9772,20000101,20100705.0,20100727.0,1,
1490004,노동부 공보관,공보관,2.0,3.0,0.0,1490000,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9714,503-8862,,20050414.0,20050411.0,1,
1490005,노동부 비상계획관,비상계획관,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490006,노동부 감사관,감사관,2.0,3.0,0.0,1490000,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9716,503-1478,20050608,20100705.0,20100727.0,1,
1490007,노동부 노사협력관,노사협력관,2.0,3.0,0.0,1490000,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9729,504-0955,,20020527.0,20020530.0,1,
1490008,노동부 국제협력관,국제협력관,2.0,3.0,0.0,1490000,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9760,507-4755,20050608,20100705.0,20100727.0,1,
1490009,노동부 국제노동협력관,국제노동협력관,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490010,노동부 국제노동협력관(대외노동정책담당)실,국제노동협력관(대외노동정책담당)실,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490011,노동부 국제노동협력관(해외협력담당)실,국제노동협력관(해외협력담당)실,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490012,노동부 근로여성정책관,근로여성정책관,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490013,노동부 노사지도관,노사지도관,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490014,노동부 부녀소년지도관,부녀소년지도관,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490015,노동부 기획관리실,기획관리실,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,03,,,4129010700,,000010000,503-9704,504-6709,,20050414.0,20050411.0,1,
1490016,노동부 기획관리실 기획예산담당관,기획예산담당관,3.0,2.0,0.0,1490015,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9705,504-6709,,20050414.0,20050411.0,1,
1490017,노동부 기획관리실 행정관리담당관,행정관리담당관,3.0,2.0,0.0,1490015,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9707,503-7432,,20050414.0,20050411.0,1,
1490018,노동부 기획관리실 법무담당관,법무담당관,3.0,3.0,0.0,1490015,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9708,507-6494,,20050414.0,20050411.0,1,
1490019,노동부 기획관리실 통계담당관,통계담당관,3.0,,0.0,1490015,1490000,1490000,,,,,,,,,,,,20050414.0,20050411.0,1,
1490020,노동부 기획관리실 전산담당관,전산담당관,3.0,,0.0,1490015,1490000,1490000,,,,,,,,,,,,20050414.0,20050411.0,1,
1490021,노동부 기획관리실 시설담당관,시설담당관,3.0,,0.0,1490015,1490000,1490000,,,,,,,,,,,,20050414.0,20050411.0,1,
1490022,노동부 기획관리실 비상계획담당관,비상계획담당관,3.0,4.0,0.0,1490015,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9720,502-9555,,20050414.0,20050411.0,1,
1490023,노동부 기획관리실 노동경제담당관,노동경제담당관,3.0,3.0,0.0,1490015,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9709,503-9877,19990524,20100705.0,20100727.0,1,
1490024,노동부 기획관리실 정보화담당관,정보화담당관,3.0,3.0,0.0,1490015,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9769,503-9877,,20050414.0,20050411.0,1,
1490025,노동부 고용정책실,고용정책실,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,03,,,4129010700,,000010000,503-9774,502-6855,,20050909.0,20050908.0,1,
1490026,노동부 고용정책실 고용관리과,고용관리과,3.0,3.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9749,503-9330,,20050909.0,20050908.0,1,
1490027,노동부 고용정책실 고용정책과,고용정책과,3.0,2.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9748,502-6855,,20050909.0,20050908.0,1,
1490028,노동부 고용정책실 장애인고용과,장애인고용과,3.0,3.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9752,507-6944,,20050909.0,20050908.0,1,
1490029,노동부 고용정책실 고용보험기획과,고용보험기획과,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490030,노동부 고용정책실 고용보험정책과,고용보험정책과,3.0,3.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9750,502-2714,,20050909.0,20050908.0,1,
1490031,노동부 고용정책실 고용보험운영과,고용보험운영과,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490032,노동부 고용정책실 고용보험관리과,고용보험관리과,3.0,4.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9763,502-2714,,20050909.0,20050908.0,1,
1490033,노동부 고용정책실 실업급여과,실업급여과,3.0,4.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,502-6631,502-8219,,20050909.0,20050908.0,1,
1490034,노동부 고용정책실 훈련정책과,훈련정책과,3.0,5.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9754,504-2039,,20050909.0,20050908.0,1,
1490035,노동부 고용정책실 훈련지도과,훈련지도과,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490036,노동부 고용정책실 인력자원개발과,인력자원개발과,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490037,노동부 고용정책실 자격진흥과,자격진흥과,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490038,노동부 고용정책실 자격지원과,자격지원과,3.0,7.0,0.0,1490025,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9756,504-2039,,20050909.0,20050908.0,1,
1490039,노동부 고용정책실 능력개발과,능력개발과,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490040,노동부 고용정책실 고용총괄심의관,고용총괄심의관,3.0,1.0,0.0,1490025,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9747,502-6855,,20050909.0,20050908.0,1,
1490041,노동부 고용정책실 직업안정심의관,직업안정심의관,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490042,노동부 고용정책실 고용보험심의관,고용보험심의관,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490043,노동부 고용정책실 능력개발심의관,능력개발심의관,3.0,1.0,0.0,1490025,1490000,1490000,1.0,5.0,02,,,4129010700,,000010000,503-9753,504-2039,,20050909.0,20050908.0,1,
