기관코드,전체기관명,최하위기관명,차수,서열,소속기관차수,차상위기관코드,최상위기관코드,대표기관코드,유형분류_대,유형분류_중,유형분류_소,우편번호,행정동코드,소재지코드,나머지주소,지번,전화번호,팩스번호,생성일자,폐지일자,변경일자,존폐여부,이전기관코드
1492000,고용노동부,고용노동부,1.0,28.0,0.0,0,1492000,1492000,1.0,1.0,01,,,,,,,,20100705,,20191018.0,0,
1492001,고용노동부 장관,장관,2.0,1.0,0.0,1492000,1492000,1492000,1.0,2.0,01,,,,,,,,20100705,,20201229.0,0,
1492002,고용노동부 차관,차관,2.0,3.0,0.0,1492000,1492000,1492000,1.0,4.0,01,,,,,,,,20100705,,20221212.0,0,
1492006,고용노동부 감사관,감사관,2.0,5.0,0.0,1492000,1492000,1492000,1.0,5.0,28,,,,,,,,20100705,,20221212.0,0,
1492130,고용노동부 중앙노동위원회,중앙노동위원회,2.0,18.0,1.0,1492000,1492000,1492000,1.0,6.0,01,30117.0,,1144010200,"정부세종청사 11동 3,4층",003700004,3273-1530,3273-1534,20100705,,20171220.0,0,
1492140,고용노동부 서울지방노동위원회,서울지방노동위원회,2.0,19.0,1.0,1492000,1492000,1492000,1.0,6.0,01,7295.0,,1168010800,서울지방노동위원회,000710000,541-1190,541-1198,20100705,,20171220.0,0,
1492141,고용노동부 서울지방노동위원회 사무국,사무국,3.0,1.0,1.0,1492140,1492000,1492000,1.0,10.0,01,7295.0,,1168010800,서울지방노동위원회,000710000,541-1191,541-1198,20100705,,20171220.0,0,
1492142,고용노동부 서울지방노동위원회 사무국 조정과,조정과,4.0,1.0,1.0,1492141,1492000,1492000,1.0,4.0,07,7295.0,,1168010800,서울지방노동위원회,000710000,541-1192,541-1198,20100705,,20171220.0,0,
1492154,고용노동부 부산지방노동위원회,부산지방노동위원회,2.0,20.0,1.0,1492000,1492000,1492000,1.0,6.0,01,46332.0,,2617010100,부산지방노동위원회,011540006,051-462-9508,051-464-8402,20100705,,20171220.0,0,
1492155,고용노동부 부산지방노동위원회 사무국,사무국,3.0,1.0,1.0,1492154,1492000,1492000,1.0,10.0,01,46332.0,,2617010100,부산지방노동위원회,011540006,051-469-4009,051-464-8402,20100705,,20171220.0,0,
1492156,고용노동부 부산지방노동위원회 사무국 조정과,조정과,4.0,1.0,1.0,1492155,1492000,1492000,1.0,4.0,07,46332.0,,2617010100,부산지방노동위원회,011540006,051-462-9504,051-464-8402,20100705,,20171220.0,0,
1492157,고용노동부 부산지방노동위원회 사무국 심판과,심판과,4.0,3.0,1.0,1492155,1492000,1492000,1.0,4.0,07,46332.0,,2617010100,부산지방노동위원회,011540006,051-462-9509,051-464-8402,20100705,,20171220.0,0,
1492162,고용노동부 인천지방노동위원회,인천지방노동위원회,2.0,26.0,1.0,1492000,1492000,1492000,1.0,6.0,01,22149.0,,2811012100,6층 인천지방노동위원회,000030003,032-761-2053,032-763-3661,20100705,,20171220.0,0,
1492163,고용노동부 인천지방노동위원회 사무국,사무국,3.0,1.0,1.0,1492162,1492000,1492000,1.0,10.0,01,22149.0,,2811012100,,000030003,032-761-2053,032-763-3661,20100705,,20171220.0,0,
1492168,고용노동부 경기지방노동위원회,경기지방노동위원회,2.0,21.0,1.0,1492000,1492000,1492000,1.0,6.0,01,16360.0,,4111111800,4층 경기지방노동위원회,000800021,031-258 - 8305,031-252-3023,20100705,,20171220.0,0,
