직급코드	공무원구분코드	직종	직종세분류코드	직군코드	직렬코드	직류코드	계급코드	직급명	폐지여부
00001	1	2	8	NULL	NULL	NULL	011	관리관	0
00002	1	2	8	01	001	001	012	교정이사관	1
00003	1	2	8	01	001	001	013	교정부이사관	1
00004	1	2	8	01	001	001	014	교정감	1
00005	1	2	8	02	001	001	015	교정관	0
00006	1	2	8	02	001	001	016	교감	0
00007	1	2	8	01	001	001	017	교위	0
00009	1	2	8	01	001	001	019	교도	0
00013	1	2	8	01	001	002	014	교회감	0
00014	1	2	8	01	001	002	015	교회관	0
00015	1	2	8	01	001	002	016	교회사	0
00016	1	2	8	01	001	002	017	교회사보	0
00017	1	2	8	01	001	002	018	교회원	0
00018	1	2	8	01	001	002	019	교회원보	0
00022	1	2	8	01	001	003	014	분류감	0
00023	1	2	8	01	001	003	015	분류관	0
00024	1	2	8	01	001	003	016	분류사	0
00025	1	2	8	01	001	003	017	분류사보	0
00026	1	2	8	01	001	003	018	분류원	0
00027	1	2	8	01	001	003	019	분류원보	0
00030	1	2	8	01	059	004	013	소년보호부이사관	1
00031	1	2	8	01	059	004	014	소년보호서기관	1
00032	1	2	8	01	059	004	015	소년보호사무관	1
00033	1	2	8	01	059	004	016	소년보호주사	1
00034	1	2	8	01	059	004	017	소년보호주사보	1
00035	1	2	8	01	059	004	018	소년보호서기	1
00036	1	2	8	01	059	004	019	소년보호서기보	1
00039	1	2	8	01	002	005	013	보호관찰부이사관	1
00047	1	2	8	01	003	006	012	검찰이사관	0
00048	1	2	8	01	003	006	013	검찰부이사관	0
00049	1	2	8	01	003	006	014	검찰수사서기관	0
00050	1	2	8	01	003	006	015	검찰사무관	0
00051	1	2	8	01	003	006	016	검찰주사	0
00052	1	2	8	01	003	006	017	검찰주사보	0
00053	1	2	8	01	003	006	018	검찰서기	0
00054	1	2	8	01	003	006	019	검찰서기보	0
00068	1	2	8	01	004	007	015	마약수사사무관	0
00069	1	2	8	01	004	007	016	마약수사주사	0
00070	1	2	8	01	004	007	017	마약수사주사보	0
00071	1	2	8	01	004	007	018	마약수사서기	0
00072	1	2	8	01	004	007	019	마약수사서기보	0
00074	1	2	8	01	005	008	012	출입국관리이사관	1
00075	1	2	8	01	005	008	013	출입국관리부이사관	1
00076	1	2	8	01	005	008	014	출입국관리서기관	1
00077	1	2	8	01	005	008	015	출입국관리사무관	0
00078	1	2	8	01	005	008	016	출입국관리주사	0
00079	1	2	8	01	005	008	017	출입국관리주사보	0
00080	1	2	8	01	005	008	018	출입국관리서기	0
00081	1	2	8	01	005	008	019	출입국관리서기보	0
00082	1	2	8	01	006	009	014	철도공안감	0
00083	1	2	8	01	006	009	015	철도공안관	0
00084	1	2	8	01	006	009	016	철도공안사	0
00085	1	2	8	01	006	009	017	철도공안사보	0
00086	1	2	8	01	006	009	018	철도공안원	0
00087	1	2	8	01	006	009	019	철도공안원보	0
00089	1	2	8	NULL	NULL	NULL	012	이사관	0
00090	1	2	8	NULL	NULL	NULL	013	부이사관	0
00091	1	2	8	NULL	NULL	NULL	014	서기관	0
00092	1	2	8	02	007	010	015	행정사무관	0
00093	1	2	8	02	007	010	016	행정주사	0
00094	1	2	8	02	007	010	017	행정주사보	0
00095	1	2	8	02	007	010	018	행정서기	0
00096	1	2	8	02	007	010	019	행정서기보	0
00129	1	2	8	02	008	018	016	세무주사	0
00130	1	2	8	02	008	018	017	세무주사보	0
00131	1	2	8	02	008	018	018	세무서기	0
00132	1	2	8	02	008	018	019	세무서기보	0
00138	1	2	8	02	009	020	016	관세주사	0
00139	1	2	8	02	009	020	017	관세주사보	0
00140	1	2	8	02	009	020	018	관세서기	0
00141	1	2	8	02	009	020	019	관세서기보	0
00147	1	2	8	02	010	021	016	운수주사	1
00148	1	2	8	02	010	021	017	운수주사보	1
00149	1	2	8	02	010	021	018	운수서기	1
00150	1	2	8	02	010	021	019	운수서기보	1
00155	1	2	8	02	011	022	015	교육행정사무관	1
00156	1	2	8	02	011	022	016	교육행정주사	1
00157	1	2	8	02	011	022	017	교육행정주사보	1
00158	1	2	8	02	011	022	018	교육행정서기	1
00159	1	2	8	02	011	022	019	교육행정서기보	1
00164	1	2	8	02	012	023	015	사회복지사무관	0
00165	1	2	8	02	012	023	016	사회복지주사	0
00166	1	2	8	02	012	023	017	사회복지주사보	0
00167	1	2	8	02	012	023	018	사회복지서기	0
00168	1	2	8	02	012	023	019	사회복지서기보	0
00173	1	2	8	02	013	024	015	노동사무관	1
00174	1	2	8	02	013	024	016	노동주사	1
00175	1	2	8	02	013	024	017	노동주사보	1
00176	1	2	8	02	013	024	018	노동서기	1
00177	1	2	8	02	013	024	019	노동서기보	1
00182	1	2	8	02	014	025	015	문화사무관	1
00183	1	2	8	02	014	025	016	문화주사	1
