직급_code,직급_value
00001,관리관
00005,교정관
00006,교감
00007,교위
00009,교도
00013,교회감
00014,교회관
00015,교회사
00016,교회사보
00017,교회원
00018,교회원보
00022,분류감
00023,분류관
00024,분류사
00025,분류사보
00026,분류원
00027,분류원보
00047,검찰이사관
00048,검찰부이사관
00049,검찰수사서기관
00050,검찰사무관
00051,검찰주사
00052,검찰주사보
00053,검찰서기
00054,검찰서기보
00068,마약수사사무관
00069,마약수사주사
00070,마약수사주사보
00071,마약수사서기
00072,마약수사서기보
00077,출입국관리사무관
00078,출입국관리주사
00079,출입국관리주사보
00080,출입국관리서기
00081,출입국관리서기보
00082,철도공안감
00083,철도공안관
00084,철도공안사
00085,철도공안사보
00086,철도공안원
00087,철도공안원보
00089,이사관
00090,부이사관
00091,서기관
00092,행정사무관
00093,행정주사
00094,행정주사보
00095,행정서기
00096,행정서기보
00129,세무주사
00130,세무주사보
00131,세무서기
00132,세무서기보
00138,관세주사
00139,관세주사보
00140,관세서기
00141,관세서기보
00164,사회복지사무관
00165,사회복지주사
00166,사회복지주사보
00167,사회복지서기
00168,사회복지서기보
00200,통계사무관
00201,통계주사
00202,통계주사보
00203,통계서기
00204,통계서기보
00208,감사관
00209,부감사관
00210,감사주사
00211,감사주사보
00212,감사서기
00213,감사서기보
00218,사서사무관
00219,사서주사
00220,사서주사보
00221,사서서기
00222,사서서기보
00228,기계주사
00344,농업사무관
00345,농업주사
00346,농업주사보
00347,농업서기
00348,농업서기보
00380,임업사무관
00381,임업주사
00382,임업주사보
00383,임업서기
00384,임업서기보
00416,수의사무관
00417,수의주사
00418,수의주사보
00479,기상사무관
00480,기상주사
00481,기상주사보
00482,기상서기
00483,기상서기보
00488,보건사무관
00489,보건주사
00490,보건주사보
00491,보건서기
00492,보건서기보
00497,식품위생사무관
00498,식품위생주사
00499,식품위생주사보
00500,식품위생서기
00501,식품위생서기보
00506,의료기술사무관
00507,의료기술주사
00508,의료기술주사보
00509,의료기술서기
00510,의료기술서기보
00515,의무사무관
00525,약무사무관
00526,약무주사
00527,약무주사보
00539,간호사무관
00540,간호주사
00541,간호주사보
00542,간호서기
00548,환경사무관
00549,환경주사
00550,환경주사보
00551,환경서기
00552,환경서기보
00629,항공사무관
00630,항공주사
00631,항공주사보
00632,항공서기
00633,항공서기보
00719,건축사무관
00746,전산사무관
00747,전산주사
00748,전산주사보
00749,전산서기
00750,전산서기보
00782,통신사무관
00783,통신주사
00784,통신주사보
00785,통신서기
00786,통신서기보
00802,전자통신주사보
00905,지방관리관
00906,지방이사관
00907,지방부이사관
00908,지방서기관
00909,지방행정사무관
00910,지방행정주사
00911,지방행정주사보
00912,지방행정서기
00913,지방행정서기보
00982,지방세무주사
00983,지방세무주사보
00984,지방세무서기
00985,지방세무서기보
01000,지방교육행정주사
01001,지방교육행정주사보
01002,지방교육행정서기
01003,지방교육행정서기보
01009,지방사회복지주사
01010,지방사회복지주사보
01011,지방사회복지서기
01012,지방사회복지서기보
01027,지방전산주사
01028,지방전산주사보
01029,지방전산서기
01030,지방전산서기보
01035,지방사서사무관
01036,지방사서주사
01037,지방사서주사보
01038,지방사서서기
01039,지방사서서기보
01768,기능1급 철도기장
01769,기능2급 철도기장
01770,기능3급 철도기장
01771,기능4급 철도기장
01772,기능5급 철도기장
01773,기능6급 철도원
01774,기능7급 철도원
01775,기능8급 철도원
01776,기능9급 철도원
01777,기능10급 철도원
01788,기능6급 토목장
01789,기능7급 토목장
01790,기능8급 토목원
01791,기능9급 토목원
01792,기능10급 토목원
01793,기능6급 건축장
01794,기능7급 건축장
01795,기능8급 건축원
01796,기능9급 건축원
01797,기능10급 건축원
01803,기능6급 통신장
01804,기능7급 통신장
01805,기능7급 통신원
01806,기능8급 통신원
01807,기능9급 통신원
01808,기능10급 통신원
01809,기능6급 전화수리장
01810,기능7급 전화수리장
01811,기능8급 전화수리장
01812,기능8급 전화수리원
01813,기능9급 전화수리원
01814,기능10급 전화수리원
01815,기능6급 교환원
01816,기능7급 교환원
01817,기능8급 교환원
01818,기능9급 교환원
01819,기능10급 교환원
01820,기능6급 전기장
01821,기능7급 전기장
01822,기능8급 전기원
01823,기능9급 전기원
01824,기능10급 전기원
01825,기능6급 기계장
01826,기능7급 기계장
01827,기능8급 기계원
01828,기능9급 기계원
01829,기능10급 기계원
01835,기능6급 난방원
01836,기능7급 난방원
01837,기능8급 난방원
01838,기능9급 난방원
01839,기능10급 난방원
01840,기능6급 운전원
01841,기능7급 운전원
01842,기능8급 운전원
01843,기능9급 운전원
01844,기능10급 운전원
01845,기능6급 화공원
01846,기능7급 화공원
01847,기능8급 화공원
01848,기능9급 화공원
01849,기능10급 화공원
01850,기능6급 선장
01851,기능7급 선장
01852,기능8급 선장
01853,기능8급 선원
01854,기능9급 선원
01855,기능10급 선원
01856,기능6급 기관장
01857,기능7급 기관장
01858,기능8급 기관장
01859,기능8급 기관원
01860,기능9급 기관원
01861,기능10급 기관원
01862,기능6급 등대장
01863,기능7급 등대장
01864,기능7급 등대원
01865,기능8급 등대장
01866,기능8급 등대원
01867,기능8급 표지원
01868,기능9급 등대원
01869,기능9급 표지원
01870,기능10급 등대원
01871,기능6급 농림원
01872,기능7급 농림원
01873,기능8급 농림원
01874,기능9급 농림원
01875,기능10급 농림원
01881,기능6급 산림보호원
01882,기능7급 산림보호원
01883,기능8급 산림보호원
01884,기능9급 산림보호원
01885,기능10급 산림보호원
01886,기능6급 보건원
01887,기능7급 보건원
01888,기능8급 보건원
01889,기능9급 보건원
01890,기능10급 보건원
01891,기능6급 간호조무원
01892,기능7급 간호조무원
01893,기능8급 간호조무원
01894,기능9급 간호조무원
