직류_code,직류_value
1,교정
2,교회
3,분류
6,
7,마약수사
8,출입국관리
9,철도공안
10,일반행정
11,법무행정
12,재경
13,국제통상
17,문화공보
18,세무
19,지방세
20,관세
21,운수
22,교육행정
23,사회복지
24,
26,공보
27,통계
28,감사
29,사서
30,일반기계
32,전기
33,사진
34,일반전기
35,전자
36,원자력
37,조선
38,금속
40,섬유
41,화공
42,자원
43,일반농업
44,잠업
46,식물검역
48,산림보호
50,축산
51,수의
52,일반수산
54,수산증식
55,어로
56,수산물검사
57,물리
58,기상
59,보건
60,식품위생
61,의료기술
62,일반의무
63,치무
64,약무
66,간호
67,일반환경
68,수질
69,대기
70,폐기물
71,교통시설
72,도시교통설계
73,
74,일반선박
75,선박항해
76,선박기관
77,일반항공
78,조종
79,정비
84,도시계획
85,일반토목
86,농업토목
87,수도토목
88,건축
89,지적
90,측지
91,전산개발
92,전산기기
94,통신사
95,통신기술
96,전송기술
97,전자통신기술
98,법제
99,속기
101,
102,조사사무
103,기업행정
104,학예일반
105,미술
106,국악
107,국어
108,편사
110,화학
111,산업경영
112,작물
113,식물환경
114,농업경영
115,원예
116,유전공학
117,농촌생활
118,임업
119,가축위생
120,농공
121,해양환경
122,수산자원
123,수산양식
124,수산공학
125,수산가공
126,수산경제
127,의학
128,약학
129,공중보건
130,환경
131,토목
132,
135,농업
136,농촌사회
137,농업기계
138,기계운전
140,어촌
141,철도현업
142,정보통신현업
143,목공
144,배관
145,통신
146,전화수리
147,교환
148,기계
149,영사
150,난방
151,운전
152,일반화공
153,가스
154,선박
155,등대
156,영림
157,사육
158,간호조무
159,위생
160,사역
161,조무
162,사송
163,검침
164,검수표
165,주차단속
166,교통지도
167,타자
168,전산
170,제도
171,필기
172,계리
173,편집
174,집배
175,기상관측
176,방호
177,경비
178,경위
179,방송
180,
181,안내
182,후생사무
184,
185,
186,법정경위
187,감식
188,
189,워드
190,잠업곤충
191,농업환경
192,작물보호
197,사무
212,지도
213,기록관리
214,생명유전
217,보호
218,문화홍보
219,산림자원
220,산림이용
221,일반해양
223,해양교통시설
225,조경
226,직업상담
227,경비관리
228,방송기술
229,기술심리
230,디자인
232,전화상담
233,열관리
234,등대관리
235,조리
236,기후환경
238,심리
239,농식품개발
242,보건진료
243,수질환경
244,검찰
245,방재안전
248,토목운영
249,건축운영
250,통신운영
251,전기운영
252,기계운영
253,영사운영
254,화공운영
255,선박항해운영
257,보건운영
258,전산운영
259,사서운영
260,선박기관운영
261,우정
263,전화상담운영
264,영림운영
265,원예운영
269,필기운영
275,열관리운영
276,시설관리
277,배관운영
278,가스운영
279,기후환경운영
280,사육운영
281,워드운영
282,철도경찰
285,행정사무
290,방역
291,기계시설
292,전기시설
293,데이터
294,안전관리
295,재난관리
296,산업곤충
297,화공시설
298,회계처리운영
299,차량관리
300,수도기계
301,수도전기
302,수도화공
303,정보기술
304,치안관리
306,농업공학
,
