bbs_sn,field,ctrgy_no
322000,노동,2
322001,노동,2
322002,노동,2
322003,노동,2
322004,노동,2
322005,노동,2
322006,노동,2
322007,노동,2
322008,노동,2
322009,노동,2
322010,노동,2
322011,고용,1
322012,고용,1
322013,산안,3
322014,노동,2
322015,고용,1
322016,노동,2
322017,노동,2
322018,노동,2
322019,고용,1
322020,노동,2
322021,노동,2
322022,노동,2
322023,고용,1
322024,고용,1
322025,고용,1
322026,노동,2
322027,노동,2
322028,노동,2
322029,노동,2
322030,노동,2
322031,노동,2
322032,노동,2
322033,노동,2
322034,노동,2
322035,노동,2
322036,고용,1
322037,노동,2
322038,노동,2
322039,노동,2
322040,노동,2
322041,노동,2
322042,노동,2
322043,노동,2
322044,노동,2
322045,노동,2
322046,노동,2
322047,노동,2
322048,노동,2
322049,노동,2
322050,노동,2
322051,노동,2
322052,노동,2
322053,노동,2
322054,노동,2
322055,고용,1
322056,노동,2
322057,노동,2
322058,노동,2
322059,노동,2
322060,노동,2
322061,노동,2
322062,노동,2
322063,노동,2
322064,노동,2
322065,노동,2
322066,노동,2
322067,노동,2
322068,노동,2
322069,노동,2
322070,고용,1
322071,노동,2
322072,노동,2
322073,노동,2
322074,노동,2
322075,노동,2
322076,노동,2
322077,노동,2
322078,노동,2
322079,노동,2
322080,고용,1
322081,노동,2
322082,고용,1
322083,노동,2
322084,노동,2
322085,노동,2
322086,노동,2
322087,노동,2
322088,노동,2
322089,노동,2
322090,고용,1
322091,노동,2
322092,고용,1
322093,노동,2
322094,고용,1
322095,고용,1
322096,노동,2
322097,노동,2
322098,노동,2
322099,노동,2
322100,노동,2
322101,노동,2
322102,노동,2
322103,노동,2
322104,노동,2
322105,노동,2
322106,노동,2
322107,노동,2
322108,노동,2
322109,노동,2
322110,노동,2
322111,노동,2
322112,노동,2
322113,고용,1
322114,노동,2
322115,고용,1
322116,노동,2
322117,노동,2
322118,노동,2
322119,노동,2
322120,노동,2
322121,고용,1
322122,고용,1
322123,노동,2
322124,노동,2
322125,노동,2
322126,노동,2
322127,노동,2
322128,노동,2
322129,노동,2
322130,노동,2
322131,노동,2
322132,노동,2
322133,노동,2
322134,노동,2
322135,노동,2
322136,노동,2
322137,노동,2
322138,노동,2
322139,노동,2
322140,노동,2
322141,노동,2
322142,노동,2
322143,노동,2
322144,노동,2
322145,노동,2
322146,노동,2
322147,기타,4
322148,노동,2
322149,노동,2
322150,노동,2
322151,노동,2
322152,노동,2
322153,노동,2
322154,노동,2
322155,노동,2
322156,노동,2
322157,노동,2
322158,노동,2
322159,노동,2
322160,노동,2
322161,노동,2
322162,노동,2
322163,노동,2
322164,노동,2
322165,노동,2
322166,고용,1
322167,고용,1
322168,노동,2
322169,고용,1
322170,노동,2
322171,노동,2
322172,고용,1
322173,노동,2
322174,고용,1
322175,노동,2
322176,노동,2
322177,고용,1
322178,노동,2
322179,고용,1
322180,노동,2
322181,고용,1
322182,노동,2
322183,고용,1
322184,고용,1
322185,노동,2
322186,고용,1
322187,노동,2
322188,고용,1
322189,노동,2
322190,산안,3
322191,고용,1
322192,노동,2
322193,노동,2
322194,고용,1
322195,고용,1
322196,노동,2
322197,고용,1
322198,고용,1
322199,노동,2
322200,노동,2
322201,노동,2
322202,노동,2
322203,노동,2
322204,산안,3
322205,노동,2
322206,노동,2
322207,노동,2
322208,노동,2
322209,노동,2
322210,산안,3
322211,노동,2
322212,노동,2
322213,노동,2
322214,노동,2
322215,노동,2
322216,노동,2
322217,노동,2
322218,노동,2
322219,고용,1
322220,노동,2
322221,노동,2
322222,노동,2
322223,노동,2
322224,노동,2
322225,노동,2
322226,노동,2
322227,노동,2
322228,산안,3
322229,산안,3
322230,노동,2
322231,노동,2
322232,노동,2
322233,노동,2
322234,노동,2
322235,노동,2
322236,노동,2
322237,노동,2
322238,노동,2
322239,노동,2
322240,노동,2
322241,노동,2
322242,노동,2
322243,노동,2
322244,노동,2
322245,노동,2
322246,산안,3
322247,노동,2
322248,노동,2
322249,노동,2
322250,노동,2
322251,고용,1
322252,노동,2
322253,노동,2
322254,고용,1
322255,고용,1
322256,노동,2
322257,고용,1
322258,노동,2
322259,노동,2
322260,노동,2
322261,노동,2
322262,노동,2
322263,노동,2
322264,노동,2
322265,노동,2
322266,노동,2
322267,노동,2
322268,노동,2
322269,노동,2
322270,고용,1
322271,고용,1
322272,고용,1
322273,노동,2
322274,노동,2
322275,노동,2
322276,노동,2
322277,고용,1
322278,노동,2
322279,노동,2
322280,노동,2
322281,노동,2
322282,기타,4
322283,노동,2
322284,노동,2
322285,기타,4
322286,기타,4
322287,산안,3
322288,노동,2
322289,노동,2
322290,노동,2
322291,노동,2
322292,노동,2
322293,노동,2
322294,노동,2
322295,노동,2
322296,노동,2
322297,노동,2
322298,노동,2
322299,노동,2
322300,노동,2
322301,노동,2
322302,노동,2
322303,노동,2
322304,노동,2
322305,노동,2
322306,노동,2
322307,고용,1
322308,노동,2
322309,노동,2
322310,노동,2
322311,고용,1
322312,기타,4
322313,노동,2
322314,기타,4
322315,고용,1
322316,노동,2
322317,노동,2
322318,노동,2
322319,고용,1
322320,노동,2
322321,노동,2
322322,고용,1
322323,노동,2
322324,노동,2
322325,노동,2
322326,노동,2
322327,노동,2
322328,노동,2
322329,노동,2
322330,노동,2
322331,노동,2
322332,노동,2
322333,노동,2
322334,노동,2
322335,기타,4
322336,노동,2
322337,기타,4
322338,노동,2
322339,고용,1
322340,고용,1
322341,기타,4
322342,고용,1
322343,고용,1
322344,노동,2
322345,노동,2
322346,고용,1
322347,산안,3
322348,기타,4
322349,노동,2
322350,고용,1
322351,기타,4
322352,노동,2
322353,고용,1
322354,노동,2
322355,노동,2
322356,노동,2
322357,노동,2
322358,고용,1
322359,노동,2
322360,고용,1
322361,고용,1
322362,노동,2
322363,노동,2
322364,노동,2
322365,노동,2
322366,고용,1
322367,노동,2
322368,노동,2
322369,고용,1
322370,노동,2
322371,고용,1
322372,고용,1
322373,고용,1
322374,노동,2
322375,노동,2
322376,노동,2
322377,고용,1
322378,노동,2
322379,고용,1
322380,노동,2
322381,고용,1
322382,노동,2
322383,노동,2
322384,노동,2
322385,기타,4
322386,노동,2
322387,고용,1
322388,노동,2
322389,고용,1
322390,노동,2
322391,노동,2
322392,노동,2
322393,노동,2
322394,노동,2
322395,노동,2
322396,고용,1
322397,고용,1
322398,노동,2
322399,고용,1
322400,고용,1
322401,고용,1
322402,노동,2
322403,고용,1
322404,노동,2
322405,고용,1
322406,고용,1
322407,노동,2
322408,노동,2
322409,노동,2
322410,노동,2
322411,노동,2
322412,노동,2
322413,고용,1
322414,고용,1
322415,고용,1
322416,고용,1
322417,고용,1
322418,고용,1
322419,고용,1
322420,고용,1
322421,노동,2
322422,고용,1
322423,고용,1
322424,고용,1
322425,고용,1
322426,고용,1
322427,고용,1
322428,고용,1
322429,노동,2
322430,노동,2
322431,고용,1
322432,노동,2
322433,노동,2
322434,고용,1
322435,고용,1
322436,노동,2
322437,노동,2
322438,노동,2
322439,고용,1
322440,고용,1
322441,노동,2
322442,노동,2
322443,노동,2
322444,노동,2
322445,고용,1
322446,고용,1
322447,노동,2
322448,고용,1
322449,고용,1
322450,노동,2
322451,노동,2
322452,노동,2
322453,고용,1
322454,노동,2
322455,노동,2
322456,고용,1
322457,노동,2
322458,노동,2
322459,고용,1
322460,고용,1
322461,고용,1
322462,노동,2
322463,고용,1
322464,고용,1
322465,고용,1
322466,고용,1
322467,노동,2
322468,고용,1
322469,고용,1
322470,노동,2
322471,고용,1
322472,고용,1
322473,노동,2
322474,노동,2
322475,고용,1
322476,노동,2
322477,노동,2
322478,노동,2
322479,고용,1
322480,고용,1
322481,노동,2
322482,노동,2
322483,고용,1
322484,노동,2
322485,노동,2
322486,고용,1
322487,노동,2
322488,노동,2
322489,노동,2
322490,기타,4
322491,고용,1
322492,고용,1
322493,고용,1
322494,고용,1
322495,고용,1
322496,노동,2
322497,고용,1
322498,고용,1
322499,노동,2
322500,고용,1
322501,노동,2
322502,고용,1
322503,고용,1
322504,고용,1
322505,노동,2
322506,고용,1
322507,고용,1
322508,노동,2
322509,노동,2
322510,노동,2
322511,고용,1
322512,고용,1
322513,노동,2
322514,노동,2
322515,고용,1
322516,노동,2
322517,노동,2
322518,노동,2
322519,노동,2
322520,노동,2
322521,노동,2
322522,고용,1
322523,노동,2
322524,노동,2
322525,노동,2
322526,노동,2
322527,노동,2
322528,노동,2
322529,노동,2
322530,고용,1
322531,고용,1
322532,고용,1
322533,노동,2
322534,노동,2
322535,고용,1
322536,노동,2
322537,고용,1
322538,노동,2
322539,노동,2
322540,노동,2
322541,고용,1
322542,고용,1
322543,노동,2
322544,노동,2
322545,노동,2
322546,고용,1
322547,노동,2
322548,노동,2
322549,노동,2
322550,고용,1
322551,노동,2
322552,노동,2
322553,노동,2
322554,노동,2
322555,노동,2
322556,노동,2
322557,노동,2
322558,산안,3
322559,노동,2
322560,고용,1
322561,고용,1
322562,노동,2
322563,노동,2
322564,노동,2
322565,노동,2
322566,노동,2
322567,노동,2
322568,노동,2
322569,노동,2
322570,노동,2
322571,노동,2
322572,노동,2
322573,노동,2
322574,노동,2
322575,고용,1
322576,노동,2
322577,고용,1
322578,노동,2
322579,노동,2
322580,노동,2
322581,노동,2
322582,노동,2
322583,고용,1
322584,노동,2
322585,노동,2
322586,노동,2
322587,노동,2
322588,노동,2
322589,고용,1
322590,노동,2
322591,고용,1
322592,노동,2
322593,노동,2
322594,노동,2
322595,노동,2
322596,노동,2
322597,노동,2
322598,노동,2
322599,노동,2
322600,노동,2
322601,노동,2
322602,노동,2
322603,노동,2
322604,노동,2
322605,노동,2
322606,노동,2
322607,노동,2
322608,노동,2
322609,노동,2
322610,노동,2
322611,노동,2
322612,노동,2
322613,산안,3
322614,노동,2
322615,산안,3
322616,노동,2
322617,고용,1
322618,노동,2
322619,고용,1
322620,노동,2
322621,고용,1
322622,노동,2
322623,노동,2
322624,노동,2
322625,고용,1
322626,노동,2
322627,노동,2
322628,산안,3
322629,노동,2
322630,산안,3
322631,노동,2
322632,노동,2
322633,노동,2
322634,산안,3
322635,노동,2
322636,노동,2
322637,산안,3
322638,고용,1
322639,노동,2
322640,산안,3
322641,노동,2
322642,노동,2
322643,노동,2
322644,노동,2
322645,고용,1
322646,고용,1
322647,노동,2
322648,노동,2
322649,고용,1
322650,노동,2
322651,노동,2
322652,고용,1
322653,노동,2
322654,노동,2
322655,산안,3
322656,노동,2
322657,노동,2
322658,노동,2
322659,노동,2
322660,노동,2
322661,노동,2
322662,산안,3
322663,노동,2
322664,산안,3
322665,노동,2
322666,노동,2
322667,노동,2
322668,노동,2
322669,노동,2
322670,노동,2
322671,노동,2
322672,노동,2
322673,고용,1
322674,고용,1
322675,노동,2
322676,노동,2
322677,노동,2
322678,노동,2
322679,노동,2
322680,노동,2
322681,노동,2
322682,기타,4
322683,노동,2
322684,노동,2
322685,노동,2
322686,노동,2
322687,고용,1
322688,고용,1
322689,노동,2
322690,노동,2
322691,노동,2
322692,산안,3
322693,노동,2
322694,노동,2
322695,산안,3
322696,노동,2
322697,노동,2
322698,산안,3
322699,노동,2
322700,노동,2
322701,노동,2
322702,고용,1
322703,노동,2
322704,노동,2
322705,노동,2
322706,노동,2
322707,노동,2
322708,노동,2
322709,노동,2
322710,산안,3
322711,노동,2
322712,노동,2
322713,노동,2
322714,고용,1
322715,노동,2
322716,노동,2
322717,노동,2
322718,노동,2
322719,노동,2
322720,노동,2
322721,산안,3
322722,고용,1
322723,노동,2
322724,노동,2
322725,노동,2
322726,고용,1
322727,산안,3
322728,산안,3
322729,노동,2
322730,노동,2
322731,노동,2
322732,고용,1
322733,노동,2
322734,노동,2
322735,고용,1
322736,노동,2
322737,노동,2
322738,노동,2
322739,고용,1
322740,고용,1
322741,노동,2
322742,노동,2
322743,고용,1
322744,노동,2
322745,산안,3
322746,노동,2
322747,산안,3
322748,노동,2
322749,노동,2
322750,노동,2
322751,노동,2
322752,고용,1
322753,노동,2
322754,노동,2
322755,노동,2
322756,노동,2
322757,고용,1
322758,노동,2
322759,고용,1
322760,노동,2
322761,노동,2
322762,노동,2
322763,고용,1
322764,노동,2
322765,고용,1
322766,산안,3
322767,고용,1
322768,노동,2
322769,노동,2
322770,노동,2
322771,고용,1
322772,노동,2
322773,노동,2
322774,노동,2
322775,노동,2
322776,노동,2
322777,노동,2
322778,노동,2
322779,고용,1
322780,노동,2
322781,산안,3
322782,노동,2
322783,노동,2
322784,노동,2
322785,노동,2
322786,노동,2
322787,노동,2
322788,노동,2
322789,노동,2
322790,노동,2
322791,고용,1
322792,노동,2
322793,노동,2
322794,노동,2
322795,노동,2
322796,노동,2
322797,노동,2
322798,노동,2
322799,노동,2
322800,노동,2
322801,산안,3
322802,산안,3
322803,산안,3
322804,산안,3
322805,노동,2
322806,산안,3
322807,노동,2
322808,산안,3
322809,노동,2
322810,노동,2
322811,노동,2
322812,노동,2
322813,노동,2
322814,산안,3
322815,노동,2
322816,산안,3
322817,노동,2
322818,노동,2
322819,노동,2
322820,노동,2
322821,고용,1
322822,산안,3
322823,노동,2
322824,고용,1
322825,산안,3
322826,노동,2
322827,노동,2
322828,산안,3
322829,산안,3
322830,노동,2
322831,노동,2
322832,산안,3
322833,산안,3
322834,노동,2
322835,산안,3
322836,노동,2
322837,노동,2
322838,노동,2
322839,노동,2
322840,노동,2
322841,노동,2
322842,노동,2
322843,노동,2
322844,고용,1
322845,노동,2
322846,노동,2
322847,노동,2
322848,노동,2
322849,노동,2
322850,노동,2
322851,노동,2
322852,노동,2
322853,노동,2
322854,노동,2
322855,노동,2
322856,노동,2
322857,고용,1
322858,노동,2
322859,산안,3
322860,노동,2
322861,노동,2
322862,노동,2
322863,산안,3
322864,산안,3
322865,노동,2
322866,노동,2
322867,산안,3
322868,노동,2
322869,산안,3
322870,노동,2
322871,노동,2
