분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
신고사건(감독),일용직 주휴수당지급관련 답변을 구합니다.,2009-03-13 15:25:54.0, [답변] 일용직 주휴수당지급관련 답변을 구합니다.,2009-02-26 10:54:18.0,,,
신고사건(감독),차별시정제도에 대한 안내서 요청드립니다.,2009-03-13 15:25:54.0,[답변] 차별시정제도에 대한 안내서 요청드립니다.,2009-02-26 17:30:17.0,,,
신고사건(감독),"해고성립, 해고예고수당과 부당해고",2009-03-13 15:25:54.0,"[답변] 해고성립, 해고예고수당과 부당해고",2009-02-27 17:27:13.0,,,
신고사건(감독),"임금일할계산방법, 연차와 평균임금",2009-03-13 15:25:54.0,"     [답변] 임금일할계산방법, 연차와 평균임금",2009-02-27 17:54:16.0,,,
신고사건(감독),연차수당계산,2009-03-13 15:25:54.0,[답변] 연차수당계산,2009-03-10 14:37:29.0,2022-12-26 17:49:33.0,,"
"
신고사건(감독),"임금일할계산방법, 연차와 평균임금",2009-03-13 15:25:54.0,"[답변] 임금일할계산방법, 연차와 평균임금",2009-03-10 18:24:44.0,,,
신고사건(감독),"해고성립, 해고예고수당과 부당해고",2009-03-13 15:25:54.0,"[답변] 해고성립, 해고예고수당과 부당해고",2009-03-11 15:34:29.0,,,
신고사건(감독),인적사항을 알 수 없는 퇴직자에 대한 금품지급 시정지시의 처리방법,2009-03-13 15:25:54.0, [답변] 인적사항을 알 수 없는 퇴직자에 대한 금품지급 시정지시의 처리방법,2009-03-11 15:49:16.0,,,
신고사건(감독),근로자성 판단기준을 알고 싶습니다,2009-03-13 15:25:54.0,붙임 근로자성 판단기준 자료를 참고하여 주십시요.,2023-10-27 15:30:39.0,,,
신고사건(감독),근로계약과 취업규칙,2009-03-18 10:51:48.0,[답변] 근로계약과 취업규칙,2009-03-20 09:43:24.0,,,
신고사건(감독),상시근로자수는 몇 명으로 보아야할지?,2009-03-18 15:10:57.0,[답변] 상시근로자수는 몇 명으로 보아야할지?,2009-03-20 13:20:08.0,,,
신고사건(감독),상시근로자수는 몇 명으로 보아야할지?,2009-03-18 15:10:57.0,  [답변] 상시근로자수는 몇 명으로 보아야할지?,2009-03-20 14:47:58.0,,,
신고사건(감독),시정지시를 대상으로 행정심판을 제기할 수 있을까요?,2009-03-23 13:09:00.0, [답변] 시정지시를 대상으로 행정심판을 제기할 수 있을까요?,2009-03-24 21:05:08.0,,,
신고사건(감독),시정지시를 대상으로 행정심판을 제기할 수 있을까요?,2009-03-23 13:09:00.0,[답변] 시정지시를 대상으로 행정심판을 제기할 수 있을까요?,2009-10-20 21:19:04.0,,,
신고사건(감독),15일 이상 근무시 전부지급 평균임금?,2009-04-14 10:45:36.0,[답변] 15일 이상 근무시 전부지급 평균임금?,2009-04-14 14:10:11.0,,,
신고사건(감독),성과급의 (평균)임금성 여부,2009-05-04 17:38:00.0,[답변] 성과급의 (평균)임금성 여부,2009-05-06 16:19:32.0,,,
신고사건(감독),취업규칙과 훈령,2009-07-17 13:02:43.0,         [답변] 취업규칙과 훈령,2009-07-22 10:14:40.0,,,
신고사건(감독),무단결근후 급여를 안 준다고 진정을 제기하는 경우..,2009-08-26 20:47:40.0,         [답변] 무단결근후 급여를 안 준다고 진정을 제기하는 경우..,2009-08-28 12:17:54.0,,,
신고사건(감독),피진정인 정보가 없는 경우 진정서 접수,2009-08-27 14:21:47.0,,,,,
신고사건(감독),근기법 제44조의2 적용관련,2009-09-02 15:45:39.0,[답변] 근기법 제44조의2 적용관련,2009-09-02 17:00:32.0,,,
신고사건(감독),근기법 제44조의2 적용관련,2009-09-02 15:45:39.0,  [답변] 근기법 제44조의2 적용관련,2009-09-03 10:53:23.0,,,
신고사건(감독),신종플루 관련 급여처리 등 질문,2009-09-07 17:27:01.0,[답변] 신종플루 관련 급여처리 등 질문,2009-09-09 17:27:34.0,,,
신고사건(감독),신종플루 관련 급여처리 등 질문,2009-09-07 17:27:01.0,  [답변] 신종플루 관련 급여처리 등 질문,2009-09-10 16:28:40.0,,,
신고사건(감독),제44조와 제44조의 2,2009-09-08 10:08:55.0,[답변] 제44조와 제44조의 2,2009-09-09 09:42:10.0,,,
신고사건(감독),제44조와 제44조의 2,2009-09-08 10:08:55.0, [답변] 제44조와 제44조의 2,2009-09-09 15:41:53.0,,,
신고사건(감독),제44조와 제44조의 2,2009-09-08 10:08:55.0,   [답변] 제44조와 제44조의 2,2009-09-11 10:55:48.0,,,
신고사건(감독),부당해고 구제명령 미이행에 대한 형사처벌 관련,2009-09-22 16:49:49.0,   [답변] 부당해고 구제명령 미이행에 대한 형사처벌 관련,2009-09-25 10:22:04.0,,,
신고사건(감독),부당해고 구제명령 미이행에 대한 형사처벌 관련,2009-09-22 16:49:49.0,[답변] 부당해고 구제명령 미이행에 대한 형사처벌 관련,2009-10-20 20:51:59.0,,,
신고사건(감독),근로기준법 제44조 적용 문제,2009-09-25 08:12:43.0,    [답변] 근로기준법 제44조 적용 문제,2009-09-28 14:20:02.0,,,
신고사건(감독),체당금 중 퇴직금의 지급범위,2009-09-27 15:47:02.0,[답변] 체당금 중 퇴직금의 지급범위,2009-10-05 15:46:33.0,,,
신고사건(감독),직상수급인만을 상대로 제기한 진정사건의 처리 관할에 관한 질의,2009-10-07 11:26:28.0,,,,,
신고사건(감독),24시간 격일제 근무자가 단시간근로자인지 여부,2009-10-07 15:32:40.0,  [답변] 24시간 격일제 근무자가 단시간근로자인지 여부,2009-10-08 16:19:45.0,,,
신고사건(감독),24시간 격일제 근무자가 단시간근로자인지 여부,2009-10-07 15:32:40.0,[답변] 24시간 격일제 근무자가 단시간근로자인지 여부,2009-10-08 18:24:00.0,,,
신고사건(감독),동거친족이 아닌 동거인의 취득신고처리,2009-10-22 16:02:01.0, [답변] 동거친족이 아닌 동거인의 취득신고처리,2009-10-28 15:26:33.0,,,
신고사건(감독),체당금 지급관련(사직서 제출후 계속 근로한 경우),2009-10-28 14:55:59.0,   [답변] 체당금 지급관련(사직서 제출후 계속 근로한 경우),2009-10-28 16:37:19.0,,,
신고사건(감독),체당금 지급관련(사직서 제출후 계속 근로한 경우),2009-10-28 14:55:59.0,[답변] 체당금 지급관련(사직서 제출후 계속 근로한 경우),2009-10-29 11:22:18.0,,,
신고사건(감독),"동거친족, 상속, 고시원, 재고용, 회생절차, 검침비, 치료비",2009-11-10 13:28:55.0,"        [답변] 동거친족, 상속, 고시원, 재고용, 회생절차, 검침비, 치료비",2009-11-12 16:31:26.0,,,
신고사건(감독),사용자 변경시 변경시 형사책임의 범위에 대해,2009-11-18 22:02:11.0,      [답변] 사용자 변경시 변경시 형사책임의 범위에 대해,2009-11-20 18:12:38.0,,,
신고사건(감독),해고예고수당 관련,2009-12-07 21:11:12.0, [답변] 해고예고수당 관련,2009-12-09 09:39:59.0,,,
신고사건(감독),근로자성 판단 부탁드립니다.,2009-12-09 11:22:53.0, [답변] 근로자성 판단 부탁드립니다.,2009-12-10 10:24:48.0,,,
신고사건(감독),직원이 사업주의 의사와 다른 근로조건으로 근로자를 고용한 경우 ,2009-12-09 19:51:57.0,  [답변] 직원이 사업주의 의사와 다른 근로조건으로 근로자를 고용한 경우 ,2009-12-10 10:48:45.0,,,
신고사건(감독),제44조 직상수급인의 귀책사유 범위 관련,2009-12-17 17:54:41.0, [답변] 제44조 직상수급인의 귀책사유 범위 관련,2009-12-21 14:46:19.0,,,
신고사건(감독),일괄유기(계속)사업장 관련,2009-12-22 19:51:23.0,,,,,
신고사건(감독),퇴직금의 중간정산시 평균임금산정기준일 ,2009-12-23 10:22:06.0,[답변] 퇴직금의 중간정산시 평균임금산정기준일 ,2009-12-24 09:26:59.0,,,
신고사건(감독),재해보상금 사건도 반의사불벌죄가 적용될 수 있는가요?,2009-12-28 14:50:37.0,  [답변] 재해보상금 사건도 반의사불벌죄가 적용될 수 있는가요?,2009-12-30 15:23:15.0,,,
신고사건(감독),재해보상금 사건도 반의사불벌죄가 적용될 수 있는가요?,2009-12-28 14:50:37.0,[답변] 재해보상금 사건도 반의사불벌죄가 적용될 수 있는가요?,2009-12-30 15:36:41.0,,,
신고사건(감독),1년미만 근로자가 월1일 유급휴가 미사용수당을 받을 권리가 있나요,2009-12-30 18:43:28.0,     [답변] 1년미만 근로자가 월1일 유급휴가 미사용수당을 받을 권리가 있나요,2009-12-31 10:12:05.0,,,
신고사건(감독),권리구제의 신속성을 확보하기 위한 배상명령제도의 활용방안,2009-12-31 13:30:56.0, [답변] 권리구제의 신속성을 확보하기 위한 배상명령제도의 활용방안,2009-12-31 14:50:32.0,,,
신고사건(감독),형사배상제도의 개선건의,2009-12-31 14:49:51.0,,,,,
신고사건(감독),사립학교직원도 공무원과 같은 방식으로 연차수당 지급해도 되나요(긴급),2010-01-15 14:57:56.0, [답변] 사립학교직원도 공무원과 같은 방식으로 연차수당 지급해도 되나요(긴급),2010-01-18 15:08:40.0,,,
신고사건(감독),사립학교직원도 공무원과 같은 방식으로 연차수당 지급해도 되나요(긴급),2010-01-15 14:57:56.0,[답변] 사립학교직원도 공무원과 같은 방식으로 연차수당 지급해도 되나요(긴급),2010-01-18 15:21:07.0,,,
사업장감독(감독),근로계약서상 명시한 휴게시간의 인정 여부,2010-01-18 16:37:49.0,[답변] 근로계약서상 명시한 휴게시간의 인정 여부,2010-01-18 17:57:43.0,,,
신고사건(감독),부부간에도 근로관계가 성립할 수 있는 지 여부,2010-01-20 17:17:18.0,[답변] 부부간에도 근로관계가 성립할 수 있는 지 여부,2010-01-21 11:43:18.0,,,
신고사건(감독),평균임금 산정시 현물로 지급되는 임금(예:급식 및 급식비등)이 포함되나요,2010-01-27 11:02:41.0,[답변] 평균임금 산정시 현물로 지급되는 임금(예:급식 및 급식비등)이 포함되나요,2010-01-29 16:00:31.0,,,
신고사건(감독),평균임금 산정시 현물로 지급되는 임금(예:급식 및 급식비등)이 포함되나요,2010-01-27 11:02:41.0,        [답변] 평균임금 산정시 현물로 지급되는 임금(예:급식 및 급식비등)이 포함되나요,2010-02-10 15:10:11.0,,,
신고사건(감독),해외에서 근로한 근로자의 권리구제 방법,2010-02-02 09:30:53.0,,,,,
신고사건(감독),피해자측에서 유발된 부실수사의 법적 효과,2010-02-02 19:01:40.0,,,,,
신고사건(감독),근로자성이 인정되는 기관장의 취득신고처리,2010-02-04 12:29:38.0,,,,,
신고사건(감독),체당금 지급대상이 되는 임금의 범위,2010-02-16 22:58:59.0,      [답변] 체당금 지급대상이 되는 임금의 범위,2010-02-18 12:52:28.0,,,
신고사건(감독),체당금 지급대상이 되는 임금의 범위,2010-02-16 22:58:59.0,    [답변] 체당금 지급대상이 되는 임금의 범위,2010-02-18 17:14:58.0,,,
신고사건(감독),퇴직금 지급대상 사업장에 대한 판단관련 상시근로자수,2010-02-17 09:32:35.0,[답변] 퇴직금 지급대상 사업장에 대한 판단관련 상시근로자수,2010-02-17 14:14:37.0,,,
신고사건(감독),기숙사규칙 미게시 등 신고시 노동부는 그에 대한 작위의무가 있는 지,2010-03-01 21:49:10.0,[답변] 기숙사규칙 미게시 등 신고시 노동부는 그에 대한 작위의무가 있는 지,2010-03-02 11:11:36.0,,,
신고사건(감독),(마트의 물품판매원) 과연 사업장?? 사용자??  ,2010-03-03 10:12:28.0,  [답변] (마트의 물품판매원) 과연 사업장?? 사용자??  ,2010-03-03 16:11:02.0,,,
신고사건(감독),명예퇴직 관련 서약서의 효력 및 퇴직일 등,2010-03-05 09:39:27.0,   [답변] 명예퇴직 관련 서약서의 효력 및 퇴직일 등,2010-03-10 14:34:40.0,,,
신고사건(감독),기상악화로 근로제공을 못한 경우 결근으로 보아야 하는지 궁금합니다.,2010-03-18 21:18:53.0,[답변] 기상악화로 근로제공을 못한 경우 결근으로 보아야 하는지 궁금합니다.,2010-03-23 16:02:12.0,,,
신고사건(감독),개인사업자로 신고된 근로자의 종합소득세의 임금공제,2010-03-22 08:07:22.0,[답변] 개인사업자로 신고된 근로자의 종합소득세의 임금공제,2010-03-23 16:07:47.0,,,
신고사건(감독),사용자의 연속성여부?,2010-03-24 13:40:19.0,      [답변] 사용자의 연속성여부?,2010-03-25 13:09:36.0,,,
신고사건(감독),재직기간 동안 미납한 세금 및 보험료를 퇴직금과 상계할 수 있을까요?,2010-03-27 17:29:06.0,    [답변] 재직기간 동안 미납한 세금 및 보험료를 퇴직금과 상계할 수 있을까요?,2010-03-31 10:00:31.0,,,
사업장감독(감독),주40시간제 적용 관련 질의,2010-04-15 22:12:56.0,  [답변] 주40시간제 적용 관련 질의,2010-04-19 15:45:05.0,,,
신고사건(감독),사업의 양도 양수에 관한 문의(근로자의 급여 및 퇴직금 관련),2010-04-30 18:43:33.0, [답변] 사업의 양도 양수에 관한 문의(근로자의 급여 및 퇴직금 관련),2010-05-04 14:46:05.0,,,
신고사건(감독),최저임금관련 문의,2010-05-04 17:07:35.0,  [답변] 최저임금관련 문의,2010-05-06 16:25:12.0,,,
사업장감독(감독),"상시근로자수 5인과 주휴, 연장,야간,휴일근로수당 적용관련 문의",2010-05-04 17:13:52.0,"[답변] 상시근로자수 5인과 주휴, 연장,야간,휴일근로수당 적용관련 문의",2010-05-06 17:25:38.0,,,
신고사건(감독),위탁계약 소급과 사용자성 문제 질의,2010-05-12 08:57:32.0,,,,,
신고사건(감독),위탁계약 소급과 사용자성 문제 질의,2010-05-12 08:58:24.0,,,,,
신고사건(감독),위탁계약관련 질의,2010-05-17 09:00:15.0,           [답변] 위탁계약관련 질의,2010-05-18 10:29:16.0,,,
신고사건(감독),법인 대표이사 또는 입주자대표회의 회장에 대한 분쟁이 있을 경우 사용자,2010-06-13 21:14:03.0,[답변] 법인 대표이사 또는 입주자대표회의 회장에 대한 분쟁이 있을 경우 사용자,2010-06-15 10:45:19.0,,,
신고사건(감독),독서실 총무의 근로자성 여부,2010-06-14 12:32:20.0,[답변] 독서실 총무의 근로자성 여부,2010-06-15 10:45:51.0,,,
신고사건(감독),해고예고수당 관련 질의,2010-06-18 13:45:37.0,  [답변] 해고예고수당 관련 질의,2010-06-21 14:28:45.0,,,
신고사건(감독),연차유급휴가미사용수당 지급 관련 질의,2010-06-18 14:58:15.0,  [답변] 연차유급휴가미사용수당 지급 관련 질의,2010-06-21 14:40:10.0,,,
신고사건(감독),취업규칙의 보존기간은 몇년인가요?,2010-06-22 11:37:20.0,     [답변] 취업규칙의 보존기간은 몇년인가요?,2010-06-24 15:54:02.0,,,
신고사건(감독),동일사업주가 동일장소에서 개인과 법인으로 사업을 운영할 경우,2010-06-28 20:46:34.0,   [답변] 동일사업주가 동일장소에서 개인과 법인으로 사업을 운영할 경우,2010-07-01 16:09:34.0,,,
신고사건(감독),신고사건 관할에 대한 질의,2010-07-07 13:10:41.0,      [답변] 신고사건 관할에 대한 질의,2010-07-08 10:30:17.0,,,
신고사건(감독),보험설계 교육 업무자의 근로자성 여부 질의,2010-07-12 18:19:52.0,  [답변] 보험설계 교육 업무자의 근로자성 여부 질의,2010-07-14 13:36:33.0,,,
신고사건(감독),해고예고수당 관련 질의입니다.,2010-07-12 19:49:12.0,[답변] 해고예고수당 관련 질의입니다.,2010-07-15 15:29:09.0,,,
신고사건(감독),퇴직금채권과 부당이득금반환채권의 상계,2010-07-14 10:08:47.0,[답변] 퇴직금채권과 부당이득금반환채권의 상계,2010-07-14 17:36:49.0,,,
신고사건(감독),산재기간중 해고예고수당 적용여부에 관해 질의드립니다.,2010-07-26 09:17:40.0, [답변] 산재기간중 해고예고수당 적용여부에 관해 질의드립니다.,2010-07-27 10:48:42.0,,,
