분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
고용서비스(센터·관리),동거친족의 근로자성 판단에 대해...,2009-04-15 10:42:32.0,        [답변] 동거친족의 근로자성 판단에 대해...,2009-04-15 18:14:56.0,,,
고용서비스(센터·관리),동거친족의 근로자성 판단에 대해...,2009-04-15 10:42:32.0,[답변] 동거친족의 근로자성 판단에 대해...,2009-04-17 10:11:26.0,,,
고용서비스(센터·관리),요양보호사의 고용보험가입시 고용형태..,2009-04-22 14:44:01.0, [답변] 요양보호사의 고용보험가입시 고용형태..,2009-04-23 11:20:11.0,,,
고용서비스(센터·관리),고용보험 상실사유 정정 관련,2009-06-04 17:04:45.0,[답변] 고용보험 상실사유 정정 관련,2009-06-10 18:44:27.0,,,
고용서비스(센터·관리),상실(이직)사유 분류 중 징계해고의 내용에 대한 문의.,2009-08-27 16:02:23.0,  [답변] 상실(이직)사유 분류 중 징계해고의 내용에 대한 문의.,2009-08-31 20:11:43.0,,,
고용서비스(센터·관리),이직확인서처리시 평균임금산정부분입니다.,2009-09-14 16:07:55.0,    [답변] 이직확인서처리시 평균임금산정부분입니다.,2009-09-16 16:22:26.0,,,
고용서비스(센터·관리),수급자격신청시 임금삭감과 관련하여,2009-09-18 13:40:21.0,,,,,
고용서비스(센터·관리),피보험자격 거짓 신고시 과태료 처분대상자,2009-09-22 09:46:56.0, [답변] 피보험자격 거짓 신고시 과태료 처분대상자,2009-09-24 13:10:51.0,,,
고용서비스(센터·관리),요양보호사중 가족간병만 하는 이는 고용보험피보험자격 대상입니까?,2009-12-09 10:12:12.0, [답변] 요양보호사중 가족간병만 하는 이는 고용보험피보험자격 대상입니까?,2009-12-10 10:59:32.0,,,
고용서비스(센터·관리),시간제계약직공무원의 피보험단위기간 산정과 관련하여 문의 사항입니다,2010-02-18 15:16:12.0,,,,,
고용서비스(센터·관리),징계해고관련 문의입니다.,2010-06-01 11:33:54.0,       [답변] 징계해고관련 문의입니다.,2010-06-03 15:27:37.0,,,
고용서비스(센터·관리),원수급인의 협조의무에 대한 질의입니다,2010-07-13 11:24:08.0, [답변] 원수급인의 협조의무에 대한 질의입니다,2010-07-15 13:13:33.0,,,
고용서비스(센터·관리),택시업체 스페어기사의 주소정근로시간 관련,2010-07-16 17:40:41.0,      [답변] 택시업체 스페어기사의 주소정근로시간 관련,2010-07-21 15:43:59.0,,,
직업능력(센터·지역),근로자직업능력개발법/영/규칙 개정(9.1일 시행),2010-08-30 14:21:15.0,,,,,
고용서비스(센터·관리),피보험자 근로자성 여부,2010-08-31 13:47:38.0, [답변] 피보험자 근로자성 여부,2010-09-01 15:48:08.0,,,
고용서비스(센터·관리),외국인 임의가입자 고용보험 취득소급여부,2010-09-06 11:57:14.0,,,,,
직업능력(센터·지역),근로자직업능력개발법령 3단비교 ,2010-09-06 14:03:41.0,,,,,
고용서비스(센터·관리),근로자성판단 질의입니다,2010-11-10 14:49:13.0,[답변] 근로자성판단 질의입니다,2010-11-12 11:24:05.0,,,
고용서비스(센터·관리),보전수당이 통상임금에 포함되는지 여부가 궁금합니다.,2010-11-12 15:11:44.0,        [답변] 보전수당이 통상임금에 포함되는지 여부가 궁금합니다.,2010-11-15 12:55:32.0,,,
통합고용(센터·지역·근로),아파트위탁관리회사에 지원된 지원금내역에 대해 정보공개가 가능한지..,2010-12-10 10:04:20.0, [답변] 아파트위탁관리회사에 지원된 지원금내역에 대해 정보공개가 가능한지..,2010-12-10 16:31:41.0,,,
통합고용(센터·지역·근로),육아휴직기간중 대표자 변경 및 이전사업장폐업경우,2010-12-13 17:25:22.0, [답변] 육아휴직기간중 대표자 변경 및 이전사업장폐업경우,2010-12-15 12:34:22.0,,,
고용서비스(센터·관리),근로자성 관련 문의입니다.,2011-08-06 13:47:31.0,[답변] 근로자성 관련 문의입니다.,2011-08-08 16:13:02.0,,,
고용서비스(센터·관리),근로자성 판단,2011-08-08 20:11:53.0, [답변] 근로자성 판단,2011-08-09 15:15:53.0,,,
고용서비스(센터·관리),근로자성판단,2011-08-14 13:26:29.0, [답변] 근로자성판단,2011-08-16 15:12:11.0,,,
고용서비스(센터·관리),피보험자 근로자성여부,2011-08-21 18:03:25.0,,,,,
고용서비스(센터·관리),피보험자격 문의드립니다.,2011-09-06 16:14:18.0,  [답변] 피보험자격 문의드립니다.,2011-09-08 11:45:59.0,,,
통합고용(센터·지역·근로),육아휴직급여의 신청기간과  소멸시효의 관계가 궁금합니다,2011-09-16 10:36:56.0,  [답변] 육아휴직급여의 신청기간과  소멸시효의 관계가 궁금합니다,2011-09-19 14:35:21.0,,,
