분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
정책기획(관리·지역·근로),휴먼명조 글꼴 이상할 때 조치법 공유,2011-04-04 11:46:05.0,[답변] 휴먼명조 글꼴 이상할 때 조치법 공유,2011-04-06 21:46:18.0,,,
정책기획(관리·지역·근로),고용보험 피보험자 자격여부,2012-08-06 15:56:02.0,[답변] 고용보험 피보험자 자격여부,2012-08-06 18:05:42.0,,,
정책기획(관리·지역·근로),고용보험 피보험자 이직확인서 제출 대상여부,2012-08-08 15:30:29.0,[답변] 고용보험 피보험자 이직확인서 제출 대상여부,2012-08-14 10:14:22.0,,,
운영지원(관리·지역),개인(인) 사업장에 부과된 과태료 체납에 따른 압류의 범위,2012-08-10 12:06:03.0,[답변] 개인(인) 사업장에 부과된 과태료 체납에 따른 압류의 범위,2012-08-14 10:12:01.0,,,
운영지원(관리·지역),결손처분 관련 문의,2012-10-17 13:50:57.0, [답변] 결손처분 관련 문의,2012-10-18 10:39:13.0,,,
운영지원(관리·지역),정보공개신청 관련 질의,2012-10-23 11:29:14.0, [답변] 정보공개신청 관련 질의,2012-10-23 14:52:14.0,,,
운영지원(관리·지역),부정수급금 상계처리의 근거 법조문,2013-01-04 13:52:38.0,   [답변] 부정수급금 상계처리의 근거 법조문,2013-01-04 15:13:46.0,,,
운영지원(관리·지역),사전공표대상 정보로 공개된 정보공개 청구 건.,2013-01-08 17:31:28.0, [답변] 사전공표대상 정보로 공개된 정보공개 청구 건.,2013-01-09 17:25:29.0,,,
운영지원(관리·지역),최저생계비 변동에 따른 압류금지 금액 변동여부,2013-01-11 15:14:28.0,     [답변] 최저생계비 변동에 따른 압류금지 금액 변동여부,2013-01-14 14:53:07.0,,,
운영지원(관리·지역),채권(임금)압류 경합관련,2013-01-28 10:15:21.0,    [답변] 채권(임금)압류 경합관련,2013-01-29 10:21:55.0,,,
운영지원(관리·지역),과태료 승계 관련.,2013-02-15 14:45:04.0,[답변] 과태료 승계 관련.,2013-02-18 17:44:02.0,,,
국제협력(지역),상실일자 언제인가요,2013-05-20 12:59:07.0,[답변] 상실일자 언제인가요,2013-05-22 17:34:42.0,,,
운영지원(관리·지역),정보공개 관련,2014-01-28 09:46:13.0,[답변] 정보공개 관련,2014-01-28 10:38:25.0,,,
운영지원(관리·지역),정보공개 관련,2014-01-28 09:46:13.0,  [답변] 정보공개 관련,2014-01-29 12:27:41.0,,,
운영지원(관리·지역),과태료 부과에 대한 의견진술 관련,2015-05-01 14:32:22.0,[답변] 과태료 부과에 대한 의견진술 관련,2015-05-04 11:58:32.0,,,
운영지원(관리·지역),과태료 부과에 대한 의견진술 관련,2015-05-01 14:32:22.0,   [답변] 과태료 부과에 대한 의견진술 관련,2015-05-04 17:25:34.0,,,
국제협력(지역),외국인고용허가제(권고사직이 존재할 경우 신규발급된 건),2017-05-24 17:02:58.0,   [답변] 외국인고용허가제(권고사직이 존재할 경우 신규발급된 건),2017-05-24 17:26:08.0,,,
국제협력(지역),외국인고용허가 관련입니다.,2017-08-01 15:50:16.0,[답변] 외국인고용허가 관련입니다.,2017-08-01 16:46:03.0,,,
국제협력(지역),외국인 업종이동,2017-08-04 10:56:28.0,[답변] 외국인 업종이동,2017-08-04 16:00:19.0,,,
운영지원(관리·지역),(급)정보공개 관련(신고사건 관련),2017-09-06 14:34:37.0,[답변] (급)정보공개 관련(신고사건 관련),2017-09-06 16:05:31.0,,,
국제협력(지역),외국인근로자 사업장변경 사유 ,2017-09-12 18:44:14.0,   [답변] 외국인근로자 사업장변경 사유 ,2017-09-13 10:58:13.0,,,
국제협력(지역),외국인고용허가 관련입니다.,2017-09-13 14:05:03.0,[답변] 외국인고용허가 관련입니다.,2017-09-14 14:33:12.0,,,
국제협력(지역),특례고용가능확인서 발급 신청시 발급처리대상인지여부,2017-09-18 10:42:36.0,[답변] 특례고용가능확인서 발급 신청시 발급처리대상인지여부,2017-09-18 17:05:18.0,,,
국제협력(지역),외국인 고용허가 문의드립니다.,2017-09-27 17:43:01.0, [답변] 외국인 고용허가 문의드립니다.,2017-09-28 10:09:12.0,,,
운영지원(관리·지역),직업안정법 관련 신고포상금 문의입니다. ,2017-10-16 14:50:44.0,  [답변] 직업안정법 관련 신고포상금 문의입니다. ,2017-10-16 15:40:57.0,,,
국제협력(지역),"외국인 고용허가제의 정보변동신고(고용승계, 지사간 이동) 문의",2017-10-18 13:29:54.0,"[답변] 외국인 고용허가제의 정보변동신고(고용승계, 지사간 이동) 문의",2017-10-18 15:27:57.0,,,
국제협력(지역),외국인고용허가제한관련문의드립니다,2017-12-07 09:32:16.0,[답변] 외국인고용허가제한관련문의드립니다,2017-12-08 09:23:57.0,,,
국제협력(지역),외국인근로자 사업장변경 직권처리 문의,2018-01-03 10:32:17.0, [답변] 외국인근로자 사업장변경 직권처리 문의,2018-01-04 15:38:46.0,,,
국제협력(지역),외국인고용허가관련입니다.,2018-01-10 15:00:55.0,[답변] 외국인고용허가관련입니다.,2018-01-10 16:31:49.0,,,
운영지원(관리·지역),온나라 문서기안시 부서장 서명인 생략에 대해 문의드립니다,2018-01-12 13:17:13.0,답,2018-03-27 10:41:39.0,,,
국제협력(지역),외국인 고용허가 관련 문의 입니다(농업경영체등록증 관련),2018-01-25 11:25:22.0,[답변] 외국인 고용허가 관련 문의 입니다(농업경영체등록증 관련),2018-01-25 16:04:33.0,,,
국제협력(지역),외국인근로자 급여일,2018-02-19 17:42:45.0, [답변] 외국인근로자 급여일,2018-02-20 10:28:56.0,,,
운영지원(관리·지역),실무수습 초과근무수당 정액분 일할지급 문의,2018-04-13 12:58:15.0,답,2018-04-13 16:46:50.0,,,
국제협력(지역),외국인고용사업장 고용승계 관련 문의,2018-05-04 11:15:50.0,답,2018-05-08 11:14:03.0,,,
